
Re=100, We=1.0, Ma=0.1, t=8.004579359599065, E_k=0.35780503958405135, E_e=19.991586310985454
Re=25, We=0.001, Ma=0.05, t=8.000000000001005, E_k=0.38300622346524493, E_e=4.8275507674339126e-05

May 2020

Re=25, We=0.1, Ma=0.05, t=8.000000000001005, E_k=0.3585213052629992, E_e=0.4144137211018544
Re=25, We=0.5, Ma=0.05, t=8.000000000001005, E_k=0.3637394685328635, E_e=7.017686237251953
Re=25, We=0.75, Ma=0.05, t=8.000000000001005, E_k=0.36768681289917576, E_e=13.24116820679811
Re=25, We=1.0, Ma=0.05, t=8.000000000001005, E_k=0.37052695531012925, E_e=20.48576943047441


Re=100, We=0.0001, Ma=0.05, t=8.000000000001005, E_k=0.33869628895122933, E_e=-1.2592136575874456e-06
Re=100, We=0.0001, Ma=0.05, t=8.000000000001005, E_k=0.33869628895122933, E_e=-1.2592136575874456e-06
Re=100, We=0.0001, Ma=0.05, t=8.000000000001005, E_k=0.33869628895122933, E_e=-1.2592136575874456e-06
Re=100, We=0.1, Ma=0.05, t=8.000000000001005, E_k=0.31129397235053924, E_e=0.41485499153202654
Re=100, We=1.0, Ma=0.05, t=8.000000000001005, E_k=0.3217208162436415, E_e=19.921133651101098
Re=25, We=1.0, Ma=0.05, t=8.000000000001005, E_k=0.37052695531012925, E_e=20.48576943047441
Re=100, We=0.001, Ma=0.05, t=10.000000000000503, E_k=0.32359891396746204, E_e=3.961459528189676e-05
Re=100, We=0.1, Ma=0.05, t=10.000000000000503, E_k=0.3207066600537169, E_e=0.41476302533030734
Re=100, We=1.0, Ma=0.05, t=10.000000000000503, E_k=0.3312762456616135, E_e=20.095222818990976
Re=25, We=1.0, Ma=0.05, t=10.000000000000503, E_k=0.37151464656224736, E_e=20.538457009483324
Re=100, We=1.0, Ma=0.05, t=10.000000000000503, E_k=0.3312762456616135, E_e=20.095222818990976


Re=100, We=0.001, Ma=0.1, t=10.000000000000503, E_k=0.3227786079044689, E_e=3.928361263709168e-05
Re=100, We=0.1, Ma=0.1, t=10.000000000000503, E_k=0.32023059406390786, E_e=0.4147664768243627
Re=100, We=1.0, Ma=0.1, t=10.000000000000503, E_k=0.3304868521780044, E_e=20.07812560321242
Re=25, We=1.0, Ma=0.1, t=10.000000000000503, E_k=0.372451300338835, E_e=20.552098636946628
Re=100, We=1.0, Ma=0.1, t=20.00124999999993, E_k=0.3412744818435055, E_e=20.263276108940744
Re=100, We=0.1, Ma=0.1, t=20.00124999999993, E_k=0.3311412184816874, E_e=0.4150266020659934
Re=100, We=0.1, Ma=0.1, t=30.001249999990836, E_k=0.33599152292513723, E_e=0.41533094927429337
Re=100, We=0.1, Ma=0.1, t=30.001249999990836, E_k=0.33599152292513723, E_e=0.41533094927429337
Re=100, We=0.5, Ma=0.1, t=30.001249999990836, E_k=0.34143870895677236, E_e=6.978036719066658
Re=100, We=0.001, Ma=0.1, t=30.001249999990836, E_k=0.33973276491118737, E_e=4.228928118677506e-05
Re=100, We=0.1, Ma=0.1, t=30.001249999990836, E_k=0.33599152292513723, E_e=0.41533094927429337
Re=100, We=0.5, Ma=0.1, t=30.001249999990836, E_k=0.34143870895677236, E_e=6.978036719066658
Re=100, We=0.001, Ma=0.1, t=30.001249999990836, E_k=0.33973276491118737, E_e=4.228928118677506e-05
Re=25, We=1.0, Ma=0.1, t=30.001249999990836, E_k=0.3724475269693944, E_e=20.552196709118636
Re=100, We=0.1, Ma=0.1, t=30.001249999990836, E_k=0.33599152292513723, E_e=0.41533094927429337
Re=100, We=0.5, Ma=0.1, t=30.001249999990836, E_k=0.34143870895677236, E_e=6.978036719066658
Re=100, We=0.001, Ma=0.1, t=30.001249999990836, E_k=0.33973276491118737, E_e=4.228928118677506e-05
Re=25, We=1.0, Ma=0.1, t=30.001249999990836, E_k=0.3724475269693944, E_e=20.552196709118636
