Re=50, We=0.001, Ma=0.1, t=8.004579359599065----- psi_min=0.170070461573---[[ 0.63775233 -0.36343591]]
Re=50, We=0.1, Ma=0.1, t=8.004579359599065----- psi_min=0.15693316291---[[ 0.64132497 -0.41448125]]
Re=50, We=0.5, Ma=0.1, t=8.004579359599065----- psi_min=0.161418492428---[[ 0.64132497 -0.41448125]]
Re=50, We=0.75, Ma=0.1, t=8.004579359599065----- psi_min=0.164061880994---[[ 0.64132497 -0.41448125]]
Re=50, We=1.0, Ma=0.1, t=8.004579359599065----- psi_min=0.166298812896---[[ 0.64132497 -0.41448125]]
Re=100, We=0.001, Ma=0.1, t=8.004579359599065----- psi_min=0.145517574808---[[ 0.56679347 -0.3971967 ]]
Re=100, We=0.1, Ma=0.1, t=8.004579359599065----- psi_min=0.132692887357---[[ 0.56679347 -0.3971967 ]]
Re=100, We=0.5, Ma=0.1, t=8.004579359599065----- psi_min=0.137283750669---[[ 0.58910943 -0.36684041]]
Re=100, We=0.75, Ma=0.1, t=8.004579359599065----- psi_min=0.139823344477---[[ 0.58910943 -0.36684041]]
Re=100, We=1.0, Ma=0.1, t=8.004579359599065----- psi_min=0.141976628429---[[ 0.57838908 -0.45000339]]
